story,first_episode,episode_numbers,episode_count,pair_status,total_minutes_rss,episode_urls
浣熊村的守護神,1,"1,2",2,上下集齊全,21.42,"https://open.firstory.me/story/ckmg1g1np0s4z0846bjffajue
https://open.firstory.me/story/ckmorxeex0bq30876cucbx0ia"
馬戲團殺人事件,3,"3,4",2,上下集齊全,23.83,"https://open.firstory.me/story/ckn2qo1nvk4c90889c1x7syuo
https://open.firstory.me/story/ckn2qzfzqk3m00a49ultbypwj"
牽牛花的不在場證明,5,"5,6",2,上下集齊全,23.03,"https://open.firstory.me/story/cknjt9toc9t9l0982h9ir6ish
https://open.firstory.me/story/cknwm2qewthfi08562shtzvzj"
黃金船的飛天傳說,7,"7,8",2,上下集齊全,20.22,"https://open.firstory.me/story/cko2tb0ed5y1c0834d8blem9y
https://open.firstory.me/story/cko9hmmfvvdte0973tvc1d5w1"
誰偷了那些雞,9,"9,10",2,上下集齊全,22.7,"https://open.firstory.me/story/ckoo6wtqujosu0848rwwr42wc
https://open.firstory.me/story/ckoxqoosnxber0800q8leedm6"
神秘的手印,11,"11,12",2,上下集齊全,26.22,"https://open.firstory.me/story/cks92yct4k9jb0801t911eli7
https://open.firstory.me/story/cksj1szobd4ey0938v4ezxxzf"
壞心眼的狐狸,13,"13,14",2,上下集齊全,18.68,"https://open.firstory.me/story/ckst5wn6cv3dk0938sgdplxkv
https://open.firstory.me/story/ckt2ufzyugx390887ufur2kos"
帆船大賽冠軍爭奪賽,15,"15,16",2,上下集齊全,24.88,"https://open.firstory.me/story/cktcu6c2qkxam0911mt5yt5ua
https://open.firstory.me/story/cktmtdare86do08837byjex1j"
餅乾鎮的夢幻甜點,17,"17,18",2,上下集齊全,26.53,"https://open.firstory.me/story/cktwvrbwj9n750981ivs46xgz
https://open.firstory.me/story/cku6z4uymfpcb0947vzwn7j9j"
黃鶯谷的歌聲,19,"19,20",2,上下集齊全,24.3,"https://open.firstory.me/story/ckuh5xptv1kdz09510nfsfs7e
https://open.firstory.me/story/ckurrx1f6vl0408730u0g89bw"
鑽石項鍊失竊案,21,"21,22",2,上下集齊全,36.52,"https://open.firstory.me/story/ckywzwi3k6eg0081484lcns7f
https://open.firstory.me/story/ckz790emweljb0859vyecl3da"
音樂中的灰燼,23,"23,24",2,上下集齊全,24.07,"https://open.firstory.me/story/ckzgvpz3709th0905iqkermqr
https://open.firstory.me/story/ckzrnzl8s0gms08964dixb9uo"
忘憂森林的松果派對,25,"25,26",2,上下集齊全,33.93,"https://open.firstory.me/story/cl015uu5l096k08192v508iod
https://open.firstory.me/story/cl0bpvzo98o080901iz955dst"
神秘的蘭花草,27,"27,28",2,上下集齊全,31.32,"https://open.firstory.me/story/cl0lrb2683csa092952ts42kx
https://open.firstory.me/story/cl0vqv4cf006y0i37g7ys8sqo"
美術館名畫失蹤之謎,29,"29,30",2,上下集齊全,38.55,"https://open.firstory.me/story/cl15tkj2p01nv0hzqfta64rrr
https://open.firstory.me/story/cl1fqcz0o022e0hzyeo623a3s"
百年老樹的暗夜大火,31,"31,32",2,上下集齊全,30.7,"https://open.firstory.me/story/cl6parnt0036t01z63pae7v47
https://open.firstory.me/story/cl6zs16vd092n01z626w64ham"
紅狐狸的城市大追擊,33,"33,34",2,上下集齊全,37.57,"https://open.firstory.me/story/cl79tmzre03es01te21qw3fdu
https://open.firstory.me/story/cl7j9j98s026n01wm7ngx4o3p"
百貨公司失竊案,35,"35,36",2,上下集齊全,38.37,"https://open.firstory.me/story/cl7ts15qw00s901wm1xrngnvq
https://open.firstory.me/story/cl83bnwv801sj01wfbr3icgiv"
鱷魚先生的滿漢全席,37,"37,38",2,上下集齊全,31.25,"https://open.firstory.me/story/cl8dfr52m005v01wf5e1kgyy1
https://open.firstory.me/story/cl8ncpx1b032b01t39r3n220r"
變色龍旅行團爆炸案,39,"39,40",2,上下集齊全,36.42,"https://open.firstory.me/story/cl97cwen00k2j010khm3k0pjh
https://open.firstory.me/story/cl9hs8vt7002d01wm6tzj7d53"
三年丙班失竊案,41,"41,42",2,上下集齊全,30.28,"https://open.firstory.me/story/clflccmca017k01x0d0lk06i6
https://open.firstory.me/story/clfve3yp502hm01uqd7cn0bok"
松鼠大亨驚魂記,43,"43,44",2,上下集齊全,39.3,"https://open.firstory.me/story/clg4lzt7i068c01uq4es81mb8
https://open.firstory.me/story/clgftji7502bp01x7fiml7a4v"
尋找藍光兔,45,"45,46",2,上下集齊全,37.07,"https://open.firstory.me/story/clgpwf2gb00bv01tb9xm8gacb
https://open.firstory.me/story/clgzenq8y0gbi01tb9tv5hnng"
雪地救援,47,"47,48",2,上下集齊全,41.95,"https://open.firstory.me/story/clh9bdstb0jgf01tb09pq2j6q
https://open.firstory.me/story/clhjczrh603uw01uz5qrv5omf"
人魚公主的復仇,49,"49,50",2,上下集齊全,38.13,"https://open.firstory.me/story/clhtkyju900c701x87imy3syw
https://open.firstory.me/story/cli3up9b001mw011d1zjjb1az"
格林小鎮的神祕解鎖事件,51,"51,52",2,上下集齊全,38.13,"https://open.firstory.me/story/clmt6xgoa00s701w7cekodpru
https://open.firstory.me/story/cln3zreju001t01yu0bch97tx"
臭臭的向陽村,53,"53,54",2,上下集齊全,34.45,"https://open.firstory.me/story/clne66g8g037o01xn509z23lr
https://open.firstory.me/story/clnnjksj2027q01ur3f8be78f"
消失的食物,55,"55,56",2,上下集齊全,33.02,"https://open.firstory.me/story/clnxa4d2k013r01y19gv17sep
https://open.firstory.me/story/clo7zoyo5000001tkd4wbhqvz"
地球殺手珠寶賊,57,"57,58",2,上下集齊全,30.5,"https://open.firstory.me/story/clohdl0sf0vjv01s1hpu9ga1s
https://open.firstory.me/story/clorgg12t02ou01t2foqf7bvf"
陽光號的巡航冒險,59,"59,60",2,上下集齊全,41.5,"https://open.firstory.me/story/clp1z9mkk00rh01yla83qdxd6
https://open.firstory.me/story/clpb6dtay00bq01s3gy7t74r4"
茉莉山的渡假山莊,61,"61,62",2,上下集齊全,29.28,"https://open.firstory.me/story/clpm2xhr3037s01wj3nor5e67
https://open.firstory.me/story/clpw5oc03006601zd0bp920ii"
荒野中的小屋,63,"63,64",2,上下集齊全,42.77,"https://open.firstory.me/story/clq5a60yw06od012meou9fmie
https://open.firstory.me/story/clqfhk1gf03cx01wk9lkt1qz1"
古堡的飛天怪之謎,65,"65,66",2,上下集齊全,38.72,"https://open.firstory.me/story/clqqffon1012q01ux70kz2oz0
https://open.firstory.me/story/clr09g3n9001z01ytalxvb5u2"
夢想中的跑步比賽,67,"67,68",2,上下集齊全,32.58,"https://open.firstory.me/story/clra8v8s9002c01swf0pncx0i
https://open.firstory.me/story/clrjzmn6s00ne01yc5jsmedfw"
傷心的瘋狂畫家,69,"69,70",2,上下集齊全,37.4,"https://open.firstory.me/story/clruqbtu400hx01xmf5ti5igb
https://open.firstory.me/story/cls40cvs603ot01u0b2i3ey2g"
冬天的惡夢,71,"71,72",2,上下集齊全,42.18,"https://open.firstory.me/story/cluutcgw409vy01vveuhrfrm1
https://open.firstory.me/story/clv5h6zcb016101wt0ryx8s5w"
百草村的巫婆傳說,73,"73,74",2,上下集齊全,28.68,"https://open.firstory.me/story/clvfhhg910llu01w15ccu5dlu
https://open.firstory.me/story/clvq1p21p0ckj01ye9o4z4td8"
憑空消失的銀行大盜,75,"75,76",2,上下集齊全,33.32,"https://open.firstory.me/story/clvzyt1jz074p01xc438hapfm
https://open.firstory.me/story/clw9h0son1mul01wz05mjg8fw"
選美大會的完美犯罪,77,"77,78",2,上下集齊全,36.3,"https://open.firstory.me/story/clwjmccnc01p201wl64qd3cch
https://open.firstory.me/story/clwu6rkdl0imn01u2830xakse"
奧斯特鎮的冠軍水壩,79,"79,80",2,上下集齊全,43.83,"https://open.firstory.me/story/clx381vx40cka01w5c9051zqp
https://open.firstory.me/story/clxdlpbeb0qux01ykcxkn18xs"
好癢好癢的復仇計畫,81,"81,82",2,上下集齊全,44.57,"https://open.firstory.me/story/cm0fy8cpt002k01sz1nmu1lxx
https://open.firstory.me/story/cm0q1fnpu03v401x9g5rgalun"
雨衣怪客跟蹤奇案,83,"83,84",2,上下集齊全,43.1,"https://open.firstory.me/story/cm105cjwn000i01w32chd0obz
https://open.firstory.me/story/cm1aa7wrc001501wza8sbbcjy"
一次偷了五家,85,"85,86",2,上下集齊全,49.13,"https://open.firstory.me/story/cm1jk89ag00kl01u19u98b5d9
https://open.firstory.me/story/cm1tlthot0oei01ux3ptpekqz"
海底五百米驚魂記,87,"87,88",2,上下集齊全,37.97,"https://open.firstory.me/story/cm23k7jfx002901uvfyz00pbg
https://open.firstory.me/story/cm2e2mrc90f3m01srfkymedhw"
夏日的迷途馬拉松,89,"89,90",2,上下集齊全,52.5,"https://open.firstory.me/story/cm2o2y8ux00ub01w05uljbmw2
https://open.firstory.me/story/cm2y6paij04bk01upc0r0815f"
五顆星就送冰釀番茄,91,"91,92",2,上下集齊全,40.17,"https://open.firstory.me/story/cm6965jn7000101ykhn3gbutl
https://open.firstory.me/story/cm6jnolly03el01sw3m41ezpk"
兔爺爺的幸運彩券,93,"93,94",2,上下集齊全,41.32,"https://open.firstory.me/story/cm744q7lk01ob01osbkn5gzwu
https://open.firstory.me/story/cm7dllmmx00dv01x66ra80ltb"
世界上最安全的地方,95,"95,96",2,上下集齊全,39.53,"https://open.firstory.me/story/cm7np2hv4000401v79c6s91d1
https://open.firstory.me/story/cm7y2e55y000201ps7rd65pdi"
地上的30個大洞,97,"97,98",2,上下集齊全,47.72,"https://open.firstory.me/story/cm889e59e0112010halh5462p
https://open.firstory.me/story/cm8hav6c300ir011aa6sn61tj"
河馬先生的牙醫診所,99,"99,100",2,上下集齊全,35.7,"https://open.firstory.me/story/cm8s3b68z00xo01w4697a2x4f
https://open.firstory.me/story/cm925vdxs008501yqh5jmapwv"
賊兮兮的賣場拖把,101,"101,102",2,上下集齊全,44.85,"https://open.firstory.me/story/cmd7flcl6003001xp5r6ig7mt
https://open.firstory.me/story/cmdicsi6r01hf01w69dp24v0l"
馬哈哈山上的水災,103,"103,104",2,上下集齊全,50.42,"https://open.firstory.me/story/cmdsap04q03ik01ww0vhd56yc
https://open.firstory.me/story/cme1m0qc3005f01uq32vrbp6h"
甜而不膩的紅豆湯圓,105,"105,106",2,上下集齊全,36.1,"https://open.firstory.me/story/cmebnuk9j01jg01w54bigacks
https://open.firstory.me/story/cmem58z0t03al01x46kvgefc0"
永恆之心失竊案,107,"107,108",2,上下集齊全,41.52,"https://open.firstory.me/story/cmevmam5701fy01tr1sodd19h
https://open.firstory.me/story/cmf5jbmty02q801sad35h5nxi"
黃金咖啡廳失竊案,109,"109,110",2,上下集齊全,44.5,"https://open.firstory.me/story/cmfg82ufv00v201tjdevl1uxv
https://open.firstory.me/story/cmfq7kbu201te01z49ywb0sxz"
蒙面騎士的陰謀,111,"111,112",2,上下集齊全,30.53,"https://open.firstory.me/story/cmjlnnadx006701us0cm3dp9t
https://open.firstory.me/story/cmjw9o9xb0wo101rh0t644a19"
吃飽飽的海邊假期,113,"113,114",2,上下集齊全,34.77,"https://open.firstory.me/story/cmk65nelk00dt01wa6c8c1l7u
https://open.firstory.me/story/cmkg8smg1000901whe6x42cp4"
好吃到爆炸的千層麵,115,"115,116",2,上下集齊全,30.65,"https://open.firstory.me/story/cmkq8yrea0oh801wubjxi3hop
https://open.firstory.me/story/cml0azfiz0cin012001hzdh7e"
滴答水聲的秘密,117,"117,118",2,上下集齊全,38.33,"https://open.firstory.me/story/cml9ptiih06r901zx9rn811fx
https://open.firstory.me/story/cmlkbah4j03f201xp4dzbhz6z"
暖呼呼的小偷,119,"119,120",2,上下集齊全,42.27,"https://open.firstory.me/story/cmlsvyrg30wqk01u56h3w7pkb
https://open.firstory.me/story/cmm4cwlw10cs601xh2it53x4x"
逃跑的超美味車輪餅,121,"121,122",2,上下集齊全,36.55,"https://open.firstory.me/story/cmolblbv2027n01ye7lwu60in
https://open.firstory.me/story/cmovsiquq00sb01w4bxg93axa"
消失的證據,123,"123,124",2,上下集齊全,51.97,"https://open.firstory.me/story/cmp6ofmlp0wtx01xqgsb5bkek
https://open.firstory.me/story/cmpf3ae7q018401rhh8f9btsj"
真正的好朋友,125,"125,126",2,上下集齊全,35.38,"https://open.firstory.me/story/cmpqadct901hz01zp8pmw12je
https://open.firstory.me/story/cmq0gto07040n01zq4cpk3prm"
絕對不能淹水的地方,127,"127,128",2,上下集齊全,40.48,"https://open.firstory.me/story/cmq9ohkhb000a01u84f798ppz
https://open.firstory.me/story/cmqkgh8q502eq01zt39uc99os"
卡拉珊瑚島的歡樂假期,129,"129,130",2,上下集齊全,40.95,"https://open.firstory.me/story/cmqtryx020ovg01yv24vp2h4t
https://open.firstory.me/story/cmr4aaszn038001wbam3rgcj6"
袖珍娃娃屋奇案,131,"131,132",2,上下集齊全,41.28,"https://open.firstory.me/story/cms6gbyon1f1m01y1el807zgw
https://open.firstory.me/story/cmshnfib80ol901z85n2gco5i"
急凍剋星的極光之旅,133,133,1,目前只有上集,19.6,https://open.firstory.me/story/cmtlrls2g06cq01uma9mk1pld
