rank,name,creator,apple_id,apple_url,feed_url,item_count,enclosure_count,transcript_tag_count,show_website
1,豬探長推理故事集,如果兒童劇團,1559480667,https://podcasts.apple.com/tw/podcast/%E8%B1%AC%E6%8E%A2%E9%95%B7%E6%8E%A8%E7%90%86%E6%95%85%E4%BA%8B%E9%9B%86/id1559480667?uo=2,https://feed.firstory.me/rss/user/cklw2tvilfnda0804tdm3oxho,144,144,0,https://open.firstory.me/user/detectivepig
2,從前從前,童話阿姨,1535319502,https://podcasts.apple.com/tw/podcast/%E5%BE%9E%E5%89%8D%E5%BE%9E%E5%89%8D/id1535319502?uo=2,https://feed.firstory.me/rss/user/ckg2mhkljssl708756xu1zvcy,357,357,0,https://onceuponatime.firstory.io
3,聽故事學英文,Sandy采聿老師,1528196420,https://podcasts.apple.com/tw/podcast/%E8%81%BD%E6%95%85%E4%BA%8B%E5%AD%B8%E8%8B%B1%E6%96%87/id1528196420?uo=2,https://feed.firstory.me/rss/user/ckmhws7ybbkfv0822cjr5wbb4,228,228,0,https://open.firstory.me/user/tsaiyustory
4,水獺媽媽巧巧話｜聽巧慧說故事學台語！,蘇巧慧,1525687063,https://podcasts.apple.com/tw/podcast/%E6%B0%B4%E7%8D%BA%E5%AA%BD%E5%AA%BD%E5%B7%A7%E5%B7%A7%E8%A9%B1-%E8%81%BD%E5%B7%A7%E6%85%A7%E8%AA%AA%E6%95%85%E4%BA%8B%E5%AD%B8%E5%8F%B0%E8%AA%9E/id1525687063?uo=2,https://anchor.fm/s/2e916170/podcast/rss,371,371,0,https://podcasters.spotify.com/pod/show/chiaohuisu
5,一起說故事,一起說故事,1530827619,https://podcasts.apple.com/tw/podcast/%E4%B8%80%E8%B5%B7%E8%AA%AA%E6%95%85%E4%BA%8B/id1530827619?uo=2,https://feed.firstory.me/rss/user/ckesn2sbvx5060839umop16go,201,201,0,https://open.firstory.me/user/storytogether
6,顛覆！故事STEAM,IC之音竹科廣播｜小青姐姐主持,1531654838,https://podcasts.apple.com/tw/podcast/%E9%A1%9B%E8%A6%86-%E6%95%85%E4%BA%8Bsteam/id1531654838?uo=2,https://www.ic975.com/feed/steam/,81,81,0,https://www.ic975.com/programs/82/%E9%A1%9B%E8%A6%86%EF%BC%81%E6%95%85%E4%BA%8BSTEAM
7,佳佳老師說故事,佳佳老師,1565512053,https://podcasts.apple.com/tw/podcast/%E4%BD%B3%E4%BD%B3%E8%80%81%E5%B8%AB%E8%AA%AA%E6%95%85%E4%BA%8B/id1565512053?uo=2,https://feed.firstory.me/rss/user/ckr33bhnbbued0859cydc9e7v,169,169,0,https://jiajiastory.firstory.io
8,媽爹講故事,MOM&DAD,1540526799,https://podcasts.apple.com/tw/podcast/%E5%AA%BD%E7%88%B9%E8%AC%9B%E6%95%85%E4%BA%8B/id1540526799?uo=2,https://feed.firstory.me/rss/user/ckgvv1m2ah8re0903njm7tcun,393,393,0,https://open.firstory.me/user/momdadstory
9,我們家的睡前故事,我們家的睡前故事,1532755821,https://podcasts.apple.com/tw/podcast/%E6%88%91%E5%80%91%E5%AE%B6%E7%9A%84%E7%9D%A1%E5%89%8D%E6%95%85%E4%BA%8B/id1532755821?uo=2,https://feed.firstory.me/rss/user/ckf0ooexigq7u0839rk1lfd6k,405,405,0,https://ourbedtimestory.firstory.io
10,強哥為你說故事,如果兒童劇團,1669389484,https://podcasts.apple.com/tw/podcast/%E5%BC%B7%E5%93%A5%E7%82%BA%E4%BD%A0%E8%AA%AA%E6%95%85%E4%BA%8B/id1669389484?uo=2,https://feed.firstory.me/rss/user/cld0588if003s01v77vwe7tl3,335,335,0,https://open.firstory.me/user/ifkids-story
